,data,flag
52,"shields helps rays finish strong road trip, beats indians james shields pitched seven strong innings to finally beat cleveland, and the tampa bay rays did some more road repair to their record with a ...",0
53,"sports of the times: rollins, fearless forecaster, makes call on n.b.a. finals, too jimmy rollins, the phillies' shortstop, likes both the mavericks' jason kidd and the heat's lebron james. but that didn't keep him from having a favorite to win the n.b.a. title.",0
54,"bulls' derrick rose a thorn in the side of plucky pacers for the first two games of their first-round playoff series, the no. 8-seeded indiana pacers have been the equal of a chicago bulls team that ...",0
55,"the rail: morning line: animal kingdom's outspoken owner morning line for friday, may 13",0
56,uncle mo is a go for kentucky derby uncle mo is ready for the kentucky derby.,0
57,"antagonists abound in the initial plot line twelve penalties were called wednesday, when the boston bruins and the vancouver canucks met for only the second time this season.",0
58,reggie bush enjoying lockout: right now we'd be 'slaving' away 'for nothing' new orleans saints running back reggie bush set off fan backlash monday evening with a pair of tweets that appeared to undermine the players' ...,0
59,"photo replay: may 5 a view of the day in sports, with race horses in louisville, wrestling in times square and golf out of the water in athens, ga.",0
60,"big east replay: march 11 images from the semifinals of the big east basketball tournament at madison square garden, featuring uconn vs. syracuse and louisville against notre dame.",0
61,"nadal struggles, djokovic's streak rolls on in rome rafael nadal struggled past 148th-ranked qualifier paolo lorenzi 6-7 (5-7), 6-4, 6-0 in his opening match at the italian open on wednesday, looking ...",0
62,"pacers stun knicks and snap six-game skid the indiana pacers shocked the new york knicks with a convincing 106-93 victory on sunday, ending a six-game losing streak despite playing without leading scorer danny granger.",0
63,"owner: uncle mo's status for kentucky derby is still fuzzy mike repole, owner of prime contender uncle mo, emphasized that it remains unclear whether his 2-year-old champion will be sufficiently recovered ...",0
64,"get your quarterbacks here an odd n.f.l. off-season produces a run on quarterbacks at the draft, the debate over cam newton rages on, and the lakers dispose of the pesky hornets.",0
65,"kentucky's john calipari accepts offer to coach dominican national team kentucky men's basketball coach john calipari has accepted an offer to coach the dominican republic's national team, the coach announced on his ...",0
66,mavericks lament lack of physicality vs. heat in game 1 the dallas mavericks easily can point the finger to what went wrong tuesday.,0
67,long bomber johnson ready for korean dust-up american dustin johnson has promised to dazzle south korean crowds with finesse as well as his jaw-dropping length off the tee at this week's co-sanctioned ballantine's championship.,0
68,"chad ochocinco will get tutorial before trying bullriding challenge the proof will be in the doing, but the professional bull riders announced thursday it had ""confirmed"" cincinnati bengals wide receiver chad ...",0
69,"byu's brandon davies plans on playing for cougars next season brigham young forward brandon davies, who was suspended on march 1 for violating the school's honor code, plans to return next year to play for ...",0
70,"no tsunami but fifa's corruption storm rages on though jack warner's threatened soccer ""tsunami"" remains stuck in the doldrums, the corruption storm raging around fifa shows no sign of abating after another extraordinary week for the game's governing body.",0
71,"faithful congregation shows signs of optimism, if you can call it that fans at citi field for friday's home opener shared their opinions on the continuing troubles of the mets.",0
72,"under-fire nfl coaches association head defends stance on thursday, as the number of coaching staffs distancing themselves from the amicus brief filed by the nfl coaches association last week with ...",0
73,"braves' luis salazar returns to camp after losing eye atlanta braves minor-league manager luis salazar has returned to camp, two weeks after being struck in the face by a foul ball and losing his ...",0
74,long bomber johnson ready for korean dust-up american dustin johnson has promised to dazzle south korean crowds with finesse as well as his jaw-dropping length off the tee at this week's co-sanctioned ballantine's championship.,0
75,"kentucky's john calipari accepts offer to coach dominican national team kentucky men's basketball coach john calipari has accepted an offer to coach the dominican republic's national team, the coach announced on his ...",0
76,houston astros are sold to local businessman the houston astros owner drayton mclane announced monday that he has agreed to sell the team he has owned for 19 years to a group led by the local businessman jim crane.,0
77,"get your quarterbacks here an odd n.f.l. off-season produces a run on quarterbacks at the draft, the debate over cam newton rages on, and the lakers dispose of the pesky hornets.",0
78,"walker, florida win dogfight with ucla to reach sweet 16 florida's little man erving walker came up big again, scoring 21 points and hitting several clutch shots down the stretch as the gators beat ...",0
79,"the rail: uncle mo sent to farm; archarcharch is retired uncle mo, last year's juvenile champion, was sent to wintar farm on monday to convalesce as he tries to recover from a gastrointestinal infection.",0
80,"n.h.l. math often equals points for all despite the distaste it generates among hockey executives, the regular-season shootout is here to stay. purists, at least, are comforted by the lack of support for installing shootouts in the playoffs.",0
81,directv won't charge for nfl sunday ticket until lockout ends fans who consume the nfl at home on directv are getting a benefit that many fans who attend games each week aren't: they don't have to pay up ...,0
82,"focused on the swing, not the score sean foley, who has worked with several tour players, including tiger woods, is confident in his theoretical methods, even if his critics are not.",0
83,"africa has record entry for 2014 world cup africa has a record entry for the 2014 world cup finals and the qualification process will begin before the end of the year, the confederation of african football said on tuesday.",0
84,reggie bush enjoying lockout: right now we'd be 'slaving' away 'for nothing' new orleans saints running back reggie bush set off fan backlash monday evening with a pair of tweets that appeared to undermine the players' ...,0
85,uncle mo is a go for kentucky derby uncle mo is ready for the kentucky derby.,0
86,indycar land of opportunity for women racers indycar is the land of opportunity for the world's top women race car drivers who will try to turn sunday's 100th indianapolis 500 into ladies day at the famed brickyard.,0
87,"photo replay: may 5 a view of the day in sports, with race horses in louisville, wrestling in times square and golf out of the water in athens, ga.",0
88,"nba mvp smelling like rose, but others have case, too the nba mvp race looks cut and dry. chicago bulls point guard derrick rose is the winner, right? it's not that easy.",0
89,"on baseball: red sox put on their rally caps for jeter derek jeter has his fans in the boston clubhouse, where red sox hitters have firsthand knowledge about slow starts.",0
90,figure skating-japan's ando wins emotional gold japan's miki ando upstaged olympic champion kim yuna to strike gold at the world figure skating championships on saturday and hoped she had lifted the spirits of her devastated nation.,0
91,"bin hammam withdraws from fifa presidential race mohamed bin hammam of qatar withdrew his candidacy for the post of fifa president on saturday, one day before he is due to face an ethics committee hearing into bribery allegations.",0
92,"on soccer: no messi means no chance for arsenal the barcelona great once again showed how he is in a class of his own in his team's 3-1 victory tuesday, which sent it to the next round of the champions league soccer tournament.",0
93,f1 returns to us for 21-race 2012 season formula one will have a grand prix race in the united states next year for the first time since 2007. the american race was the only addition to a record 21-race calendar for 2012.,0
94,"heavyweights flex muscle at indy 500 practice as expected, the indycar series' muscle teams flexed during the final practice before saturday's indianapolis 500 qualifications, where the question ...",0
95,rose denies comments on performance-enhancing drugs the chicago point guard had been quoted by espn the magazine as saying performance-enhancing drugs had a high influence in the n.b.a.,0
96,"sharks 2, red wings 1 : sharks slip past red wings in overtime benn ferriero scored in his playoff debut on a deflected goal that gave the san jose sharks a victory over the red wings on friday night in game 1.",0
97,"west's top 2 fall flat in openers the san antonio spurs and los angeles lakers, the top two seeds in the western conference, went into the first round of the nba playoffs sunday ...",0
98,bonds guilty of obstruction of justice barry bonds was convicted of obstructing justice after a trial over whether he lied about taking steroids. but the jury failed to reach a verdict on other counts.,0
99,2010 st. louis rams: what the film revealed the rams have a lot of reasons to be giddy about sam bradford.,0
100,"cink, henry lead texas open after na's historic meltdown j.j. henry and former british open champion stewart cink share the texas open lead after shooting first-round 5-under 67s on a day the spotlight ...",0
101,"jimmer lite? florida's walker 'fearless' when it's crunch time in thursday night's brigham young-florida southeast regional semifinal, keep an eye out for the game-changing guard likely to make a big shot ...",0
102,lincicome and lewis set red-hot pace at nabisco searing heat posed few problems for brittany lincicome as she charged into a share of the first-round lead with fellow american stacy lewis at the kraft nabisco championship on thursday.,0
103,"in baltimore, cano hits second to almost none robinson cano took the field saturday with a .376 lifetime average at camden yards, surpassed only by ichiro suzuki's .388.",0
104,"cold april for baseball: six stadiums see worst crowds ever baseball is in the throes of its dog days, at least from an attendance standpoint. with poor weather, kids in school and a season's narrative ...",0
105,"court agrees to expedite n.f.l.'s appeal the decision means a ruling could be made nearly two months before the regular season begins, time for the sides to work out a deal without delaying the season.",0
106,"an early celebration leaves the heat with a game 2 hangover the clock showed 7:14 when dwyane wade hit a 3 that pushed miami's lead to 15 points. after lebron james and wade danced, the mavericks went on a 22-5 run.",0
107,"deal gives lebron james a piece of liverpool lebron james is getting into the soccer business, aligning with the owners of the boston red sox.",0
108,"jimmer lite? florida's walker 'fearless' when it's crunch time in thursday night's brigham young-florida southeast regional semifinal, keep an eye out for the game-changing guard likely to make a big shot ...",0
109,"cink, henry lead texas open after na's historic meltdown j.j. henry and former british open champion stewart cink share the texas open lead after shooting first-round 5-under 67s on a day the spotlight ...",0
110,"braves' mcdowell gets fine, 2-week ban braves pitching coach roger mcdowell was suspended for two weeks without pay sunday by major league baseball for inappropriate comments and gestures he made toward fans.",0
111,"fantasy focus: moving the needle updated thoughts on james shields, albert pujols and jason heyward.",0
112,2010 st. louis rams: what the film revealed the rams have a lot of reasons to be giddy about sam bradford.,0
113,"lakers to work with glaad on fighting gay slurs going into the nba playoffs this weekend, the los angeles lakers have landed a new partner.",0
114,horton is bruins' finishing touch boston's nathan horton scored his second game 7-winning goal of the postseason ' a feat no other n.h.l. player had ever accomplished in one year.,0
115,"scenarios: what it would mean if bruins win, if lightning win the boston bruins are hosting the tampa bay lightning friday night (8 et, versus) in game 7 of the eastern conference finals. the winner would ...",0
116,"tiger woods' niece cheyenne creating golf identity of her own when cheyenne woods was 2, she plucked a club from a bag, like a sword from a stone, and whacked a golf ball into the netting in her grandfather's ...",0
117,yankees shuffle bullpen bartolo colon will have an expanded role in the yankees bullpen with luis ayala going on the disabled list.,0
118,previews: breaking down saturday's third-round tilts takes an in-depth look at all eight ncaa tournament games scheduled for saturday.,0
119,"war veterans show games can play important part in recovery nearly 200 men and women from all military branches competed last week in the second annual warrior games, held in colorado springs. the games, ...",0
120,"big ten considering starting league basketball games earlier for most of the high-major conferences, league play in men's basketball opens around christmas or new year's eve.",0
121,quick conclusion for barry bonds trial? witness list trimmed down the barry bonds trial may come to a close sooner than expected.,0
122,"braves, jurrjens power their way past phillies, hamels decked in plenty of pink, freddie freeman had a career night.",0
123,"lakers coach jackson bids farewell after playoff exit phil jackson, the most successful coach in nba history, walked gingerly off the court for what is likely to be the final time following the los angeles lakers' season-ending loss to the dallas mavericks on sunday.",0
124,chung backs bin hammam in fifa presidential race mohamed bin hammam received a boost to his campaign to become fifa president when he was backed by his former foe and ex-fifa executive committee member chung mong-joon tuesday.,0
125,"blue jays' drabek takes no-hitter into 6th, wins first ml game kyle drabek pitched seven innings of one-hit ball to earn first major league win, jose molina and jayson nix hit solo home runs and the toronto ...",0
126,"after magic run to third national title, what's in store in storrs? kemba walker will leave connecticut with a degree in sociology on may 8, his 21st birthday. there's no turning back for the junior who scored ...",0
127,"jamal  coombs-mcdaniel plans to transfer from connecticut jamal coombs-mcdaniel, a swingman on connecticut's national championship basketball team, has had his initial court appearance on marijuana charges ...",0
128,chicago's humber shuts down yankees in white starter philip humber threw seven superb innings to shut down the new york yankees' batters and give the struggling chicago white sox a 2-0 win on monday.,0
129,donte' stallworth tweets support for same-sex marriage wide receiver donte' stallworth used his twitter account tuesday morning to back same-sex marriage.,0
130,"lakers coach jackson bids farewell after playoff exit phil jackson, the most successful coach in nba history, walked gingerly off the court for what is likely to be the final time following the los angeles lakers' season-ending loss to the dallas mavericks on sunday.",0
131,"big ten considering starting league basketball games earlier for most of the high-major conferences, league play in men's basketball opens around christmas or new year's eve.",0
132,"miked crews part of tnt's sprint cup coverage as turner sports' tnt inherits nascar sprint cup coverage sunday from fox, it plans some new wrinkles on the six races it will cover.",0
133,"war veterans show games can play important part in recovery nearly 200 men and women from all military branches competed last week in the second annual warrior games, held in colorado springs. the games, ...",0
134,sean avery of new york rangers backs same sex marriage sean avery of the nhl's new york rangers is becoming one of the first pro athletes to support same-sex marriage. avery has recorded a video supporting ...,0
135,"djokovic heads to rome with no.1 ranking in sight of all the 32 victories accumulated by winning machine novak djokovic since the start of the year, his straight sets defeat of rafa nadal in the final of the madrid masters was the most telling of all.",0
136,mets' medical report general manager sandy alderson updated the status of the mets' many injured players.,0
137,bonds guilty of obstruction of justice barry bonds was convicted of obstructing justice after a trial over whether he lied about taking steroids. but the jury failed to reach a verdict on other counts.,0
138,"the forces that can change fifa fifa is riddled with corruption, yet with its president running unopposed for re-election, the emphasis shifts to three groups to spark any sort of change.",0
139,a point guard develops for tar heels the freshman kendall marshall has proved to be a quick study since taking over the starting role in mid-january.,0
140,gonzaga hopes to be chic women's underdog everybody is loving the unexpected deep runs of virginia commonwealth and butler on the men's side. can gonzaga become the cinderella of the women's tournament?,0
141,"marv albert to return as nfl voice; networks bid for olympics in announcing monday that marv albert will call nfl games for his network, cbs sports chairman sean mcmanus noted the albert's ""remarkable longevity."" ...",0
142,heat 'very disappointed' in late game 2 collapse the miami heat have had ample opportunity to watch and re-watch and re-watch to their collapse against dallas mavericks. how many times has heat ...,0
143,"wisconsin survives pullen's big night, tops kansas state 70-65 jordan taylor hit two big free throws and blocked jacob pullen's three-point attempt in the closing seconds to overcome a rough shooting night, ...",0
144,providence hires ed cooley providence has hired former fairfield coach ed cooley to replace the fired keno davis.,0
145,nfl reimposes lockout on players after favorable court ruling the nfl's foray back into football operations lasted only one day. the eighth circuit court of appeals approved the nfl's request for a temporary ...,0
146,"lightning beat capitals, take commanding 3-0 lead steven stamkos and ryan malone scored 24 seconds apart in the third period and the streaking tampa bay lightning beat washington 4-3 to push ...",0
147,"ryan kesler's tiebreaker gives canucks 3-1 lead on predators ryan kesler broke a tie with a power-play goal at 7:28 of the third period, and the vancouver canucks beat the nashville predators 4-2 on thursday ...",0
148,"fa cup: manchester city wins, will face rival united next manchester city set up an fa cup semifinal against fierce rival manchester united thanks to micah richards' second-half winner in a 1-0 victory ...",0
149,"braves' chipper jones plays, tries to avoid surgery chipper jones is 39 years old and a fixture here. he is a good bet to make it to cooperstown. so if he says he can play on a sore right knee, ...",0
150,murray advances into maiden paris semi-final andy murray played with fire before overcoming argentine juan ignacio chela 7-6 7-5 6-2 to reach the french open semi-finals for the first time on wednesday.,0
151,"howard, magic end long drought in phoenix with rout of suns dwight howard had 26 points and 15 rebounds, then watched the fourth quarter from the bench as the orlando magic completed a 111-88 rout of the ...",0
152,"stanley bogdan, maker of much-coveted fly reels, is dead at 92 mr. bogdan's reels were so coveted that anglers were willing to spend years on a waiting list to buy them and then to pay far more than they would have for reels of only ordinary excellence.",0
153,"wife accused in stabbing of dolphins receiver authorities said the wife of brandon marshall stabbed the miami dolphins wide receiver with a kitchen knife, and his agent said saturday that the player was recovering.",0
154,"sugar ray leonard says olympic coach sexually abused him as a kid former boxing champion sugar ray leonard says in a new autobiography that he was sexually abused as a teenager by an unnamed olympic boxing coach, ...",0
155,"mack leads the charge to help butler get back to final four kentucky fans, were you watching? if so, it might end up being painful ... again. shelvin mack grew up in lexington. he was a fan of the wildcats. ...",0
156,"stanley bogdan, maker of much-coveted fly reels, is dead at 92 mr. bogdan's reels were so coveted that anglers were willing to spend years on a waiting list to buy them and then to pay far more than they would have for reels of only ordinary excellence.",0
157,heat's defense smothering celtics in playoff series everyone loves to see replays of miami heat guard dwayne wade's nifty euro step past confused boston celtics forward kevin garnett for a layup ...,0
158,"owners win delay in case, keeping n.f.l. shut the decision is a victory for owners in a legal battle with players, and means the league will remain closed.",0
159,gatlin gets comeback chance in oregon disgraced 2004 olympic 100 meters champion justin gatlin's comeback bid gained new life on wednesday when he was invited to compete in saturday's prefontaine classic diamond league meeting.,0
160,game on: the column. nba plays both sides bloggers tom weir and reid cherner are trying to avoid being upset as no. 1 seeds.,0
161,"east: west virginia 84, clemson 76: west virginia advances past sleepy clemson the mountaineers struggled in the first half, but eventually gained control against the tigers, who were coming off an opening round game tuesday.",0
162,"nadal reaches final at monte carlo masters for seventh year in a row six-time defending champion rafael nadal beat andy murray 6-4, 2-6, 6-1 in a thrilling match to reach the monte carlo masters final on satur ...",0
163,houston astros are sold to local businessman the houston astros owner drayton mclane announced monday that he has agreed to sell the team he has owned for 19 years to a group led by the local businessman jim crane.,0
164,byu's davies likely to play after code violation forward brandon davies expects to suit up next season for byu despite missing this year's ncaa tournament run for violating the university's honor code.,0
165,heat's defense smothering celtics in playoff series everyone loves to see replays of miami heat guard dwayne wade's nifty euro step past confused boston celtics forward kevin garnett for a layup ...,0
166,"mack leads the charge to help butler get back to final four kentucky fans, were you watching? if so, it might end up being painful ... again. shelvin mack grew up in lexington. he was a fan of the wildcats. ...",0
167,"animal kingdom primed for rematch at belmont any worries his trainer, graham motion, had about animal kingdom handling the surface known as big sandy were erased as the colt turned in the fastest of 32 horses' timed workouts.",0
168,"sugar ray leonard says olympic coach sexually abused him as a kid former boxing champion sugar ray leonard says in a new autobiography that he was sexually abused as a teenager by an unnamed olympic boxing coach, ...",0
169,"rose, james and howard headline all-nba selections most valuable player derrick rose of the chicago bulls and lebron james of the miami heat, winner of the two previous mvp awards, were selected for this season's all-nba team, the league said on thursday.",0
170,an appraisal: ballesteros 'could get up and down out of a garbage can' the reality of the death of the great golf champion seve ballesteros in spain at the age of 54 dawned on the quail hollow club on saturday morning.,0
171,"live blog: follow the action of opening day it's still march and it may be a little chilly or a bit damp in some places, but opening day 2011 has arrived.",0
172,"lightning beat capitals, take commanding 3-0 lead steven stamkos and ryan malone scored 24 seconds apart in the third period and the streaking tampa bay lightning beat washington 4-3 to push ...",0
173,"yankees salvage one win in seattle behind sabathia cc sabathia allowed one run in eight innings, andruw jones lined a bases-clearing double to highlight the yankees' five-run third inning, and ...",0
174,nfl reimposes lockout on players after favorable court ruling the nfl's foray back into football operations lasted only one day. the eighth circuit court of appeals approved the nfl's request for a temporary ...,0
175,"fa cup: manchester city wins, will face rival united next manchester city set up an fa cup semifinal against fierce rival manchester united thanks to micah richards' second-half winner in a 1-0 victory ...",0
176,"west: arizona 70, texas 69: at end, arizona hits shots that count derrick williams's 3-point play with 9.6 seconds left sent the no. 5 wildcats past the no. 4 longhorns after texas' last-second scramble to the basket came up short.",0
177,giambi takes his chance to fuel rockies win little-used jason giambi clobbered three homers and drove in seven runs to power the colorado rockies to a 7-1 win over the philadelphia phillies in a battle of division leaders on thursday.,0
178,"angels 3, yankees 2: despite nova's solid performance, yankees stumble against angels the yankees' four-game winning streak ended at angel stadium despite an encouraging performance by ivan nova, who overcame a few shaky innings to work into the seventh.",0
179,"schiavone recovers and outlasts pavlyuchenkova francesca schiavone, the defending french open champion, pulled out a 1-6, 7-5, 7-5 victory over anastasia pavlyuchenkova.",0
180,"for schiavone, taste of limelight has lingered francesca schiavone needed only 62 minutes to dispatch the american melanie oudin, 6-2, 6-0, at the french open.",0
181,"stanley bogdan, maker of much-coveted fly reels, is dead at 92 mr. bogdan's reels were so coveted that anglers were willing to spend years on a waiting list to buy them and then to pay far more than they would have for reels of only ordinary excellence.",0
182,"braves' chipper jones plays, tries to avoid surgery chipper jones is 39 years old and a fixture here. he is a good bet to make it to cooperstown. so if he says he can play on a sore right knee, ...",0
183,"giants in depth: will eli manning ever reach peyton's elite level? the nfl lockout has dampened the usual offseason analysis of each team's comings and goings. but, lockout or not, the league will still be moving ...",0
184,"on baseball: the giants start over, adjusting to the glare the giants began the defense of their first west coast championship under crisp blue skies at the home of their oldest rivals.",0
185,shaquille o'neal: logical choice as espn analyst it's a classic example of a fabulous tv prospect who would fill a need: star power at disney's espn/abc nba studio show.,0
186,"nadal reaches final at monte carlo masters for seventh year in a row six-time defending champion rafael nadal beat andy murray 6-4, 2-6, 6-1 in a thrilling match to reach the monte carlo masters final on satur ...",0
187,"for schiavone, taste of limelight has lingered francesca schiavone needed only 62 minutes to dispatch the american melanie oudin, 6-2, 6-0, at the french open.",0
188,giambi takes his chance to fuel rockies win little-used jason giambi clobbered three homers and drove in seven runs to power the colorado rockies to a 7-1 win over the philadelphia phillies in a battle of division leaders on thursday.,0
189,"baseball roundup: happy with lineup, phillies release castillo looking for a fill-in for the injured star second baseman chase utley, philadelphia had signed castillo earlier this month after he was cut by the mets.",0
190,"east: west virginia 84, clemson 76: west virginia advances past sleepy clemson the mountaineers struggled in the first half, but eventually gained control against the tigers, who were coming off an opening round game tuesday.",0
191,fivethirtyeight: ranking baseball's best ballparks ranking major league baseball's best ballparks shows pittsburgh coming out on top.,0
192,houston astros are sold to local businessman the houston astros owner drayton mclane announced monday that he has agreed to sell the team he has owned for 19 years to a group led by the local businessman jim crane.,0
193,"yankees salvage one win in seattle behind sabathia cc sabathia allowed one run in eight innings, andruw jones lined a bases-clearing double to highlight the yankees' five-run third inning, and ...",0
194,"nadal reaches final at monte carlo masters for seventh year in a row six-time defending champion rafael nadal beat andy murray 6-4, 2-6, 6-1 in a thrilling match to reach the monte carlo masters final on satur ...",0
195,game 1s in eastern conference playoffs are set the knicks will open their first-round series against the celtics at 7 p.m. sunday in boston.,0
196,ncaa to look at san diego case after fbi case is complete the ncaa plans to conduct its own investigation into an alleged gambling ring at the university of san diego but will wait until the fbi completes ...,0
